achievement_count	athlete.id	athlete.resource_state	athlete_count	average_speed	comment_count	commute	display_hide_heartrate_option	distance	elapsed_time	elev_high	elev_low	end_latlng1	end_latlng2	external_id	flagged	from_accepted_tag	gear_id	has_heartrate	has_kudoed	heartrate_opt_out	id	kudos_count	manual	map.id	map.resource_state	map.summary_polyline	max_speed	moving_time	name	photo_count	pr_count	private	resource_state	sport_type	start_date	start_date_local	start_latlng1	start_latlng2	timezone	total_elevation_gain	total_photo_count	trainer	type	upload_id	upload_id_str	utc_offset	visibility	workout_type	average_heartrate	max_heartrate
3	37641772	1	1	14.104800000000001	0	FALSE	FALSE	32.6488	9734	29.4	2.9	-27.433106	153.033061	cc63a917-936d-4e19-8586-dac3c6ae416c-activity.fit	FALSE	FALSE	b10387460	FALSE	FALSE	FALSE	4152850786	0	FALSE	a4152850786	2	d}lfDuw`e\fAcO}A[qMoAcB?KKJ_AKa@iAs@}EyEgBoBa@_A][kJmAUZwB@wEo@_A]oMuAeAk@q@KmDXaMuDyBkAeBoCyCgKq@k@AsAq@iCOWaA]LiA`B_VcAWcDsB_OkKeB_BiAiCeAiAN{@EUi@{@c@So@s@h@wD~@qAJe@r@aMb@mCRoECOSK?O^s@^kEd@mBCwD}@eDoDeGi@kB}@aAi@R@JZ]?c@mDcHOu@u@eAqCaHk@eAgBi@U_@}@aEl@s@Ba@MeB]m@P{As@cOq@sAVaA@o@wAiVWgBq@wA{PwOcCqCs@]eACyFn@mI\gFJwBk@aATyFVSg@k@sEe@yKw@mDw@sKuEwBaGiBw@g@ug@cS}C_BqBuBoBqCqLcRaFwIoC{CaAi@g@G{ErDgA?o@VuEc@oA`@uBfBqF~EkB|@yE~Dm@zH}E[CZe@@uWkBuCJiBw@eDc@{@Zs@m@qADu@c@eEOu@YcW_CcCy@yJsFyDcB}Dq@w@a@iPeAeA@{H|@w@Mw@s@]@uDxFs@~A}@lDgEdREUtBsI@YOUkC{@g@@c@b@oBzEk@DGXEiAd@BRO~AgDd@i@f@CtCbA\GhCiKrB_DxByDVA~@n@f@LdJ{@rF^`@g@nARmAGMPDNnId@Jf@vGtAfO`ItBt@pW`Cd@RjDJh@Ff@^xAC`@f@b@WZ?l@X~BR~Ap@dCQdYvBPABg@fE`@VK^cHdDcCp@w@lC{A`FsEzBmBjAYjE`@r@U`A?~EmDd@B~@f@fCrCjJ|OlH`LhBjCxB`CpDjBzj@pTxKjEHZf@tJt@lDb@zJj@jFT~@xIm@dB`@jEG~Ha@bHu@dADz@d@pB|BzBhB|G`HzCbCz@jBZpBnAdV?l@]`At@xAv@`OUlBXd@JnBo@v@`AtELRdBb@lA`BrCdHb@h@Lp@tDbIdAhA`ArC|CtFp@rCB|De@jBa@nE[h@?\TFYpF_@`Cu@hLmAdD]dChAt@v@fAF\M~@~@fAjAlCpNfKu@hOr@VnE`@tAK?d@Sv@LtAYdHdAl@`ArEbExMnAbB|@n@`O~Ed@?`A_@h@@xATG@@Rr@`@rG`AtMzAvBHVUxJlAfAnBfIbIx@d@EvAFJrAMnO|Av@TB^aAjL	43.56	8334	Chang Su	0	0	FALSE	2	Ride	2020-10-05T00:14:07Z	2020-10-05T10:14:07Z	-27.433271	153.032915	(GMT+10:00) Australia/Brisbane	79.9	0	FALSE	Ride	4443391916	4443391916	36000	everyone	10	NA	NA
1	37641772	1	3	11.4408	0	FALSE	FALSE	10.2273	7890	229	30.6	-27.475015	152.977232	55ac92a3-bab6-4cbd-a8c7-11045d07902a-activity.fit	FALSE	FALSE	b10387460	FALSE	FALSE	FALSE	4204246527	1	FALSE	a4204246527	2	rdufD_qsd\G?CHE@CKB?BEM@YGAEBIXR^NGCBAEKYSW]O]Kw@LqDAy@Ge@w@iC{@kCcA{DKUSOAGFMF?HDTR@DFv@Nx@d@fAr@pBHX`AjCPh@Ln@@d@Ct@Gr@?^Fl@Rf@l@d@THj@DdA@Z@p@JVHTLpBnB^\|@~@lBbBj@j@^v@Zx@Jf@V^bAp@p@T^PX^Ff@N^^f@`Ar@nBbAf@b@jA~AXd@VXpBlCb@\n@ZdAR`@LRLjA~@bAp@p@t@RXFZAPi@`BEVFXHN~@x@TXLXDNFx@Xr@BLAl@YvAAPDJFDNDJA?AC?@G@@COJUNeBByAOm@Ce@E@AEg@HF@DAAJ[UADP\LLJDF?PILUFUJk@Ei@Ya@qA_AaAkAg@a@aAkAiAiAiAs@QIiBe@g@_@mFoHe@c@WQmCwAc@WOMW]Q_@Ms@GOYWOKiA[QIa@]Yg@Oo@Sm@Yk@_@a@wAmAaDcCiAuA_@[QIg@GqBEw@I_@Q[_@Se@Gi@F}DIq@aB}EcBaGYe@?KFGD@AFNHR\jAjDJh@L^BN|@~Bb@~@Nf@DT@b@EnBC^N`AHTTTf@Vh@HdABdAJVFd@RvCrCxCfCv@z@j@~@^pA^v@f@\zAh@PPLVVbAd@h@d@`@n@d@d@V~@\dAtA^XZb@Td@R^j@j@\l@\\\X\PhAZr@ZhBtArAnAPVFR@VCT_@fAC`@DPFHdAdARVP^F|@Vp@Hl@Er@Ux@CPNPJ@PGFKFYJmBDOFw@AKQSEIGW@IAAMNBAFG@VHLJBHIXcAJc@@OGa@GOKMcAg@c@[_A_AKEAD{AkB[YaBoAs@a@yA]k@We@c@u@_AwCcEe@g@m@c@m@]wAo@_@UWYWe@_@{A[WeBo@OKMMKOy@}B[e@qAmAqDsCa@]_AeAe@Yg@Ke@?eBFw@CWLJCKGACIAJDJG@B@Ok@o@MYIe@Ci@HwDAc@Ka@kAqDa@y@[}@c@{@c@wAa@}@@[Hi@B[DKPmAb@kBl@qFd@cC^sCFu@NoA?K@CL@^n@RJHBLCT[FCJDHP	55.800000000000004	3218	Mt cootha	0	1	FALSE	2	Ride	2020-10-16T22:46:22Z	2020-10-17T08:46:22Z	-27.474812	152.968008	(GMT+10:00) Australia/Brisbane	307.3	0	FALSE	Ride	4498025254	4498025254	36000	everyone	10	NA	NA
11	37641772	1	2	17.964000000000002	0	FALSE	FALSE	26.847900000000003	6712	225.7	7.3	-27.477135	153.004879	b1924923-ed27-4b04-b588-9e1d1cf458ad-activity.fit	FALSE	FALSE	b10387460	FALSE	FALSE	FALSE	4305166890	1	FALSE	a4305166890	2	rrufDmwzd\{AUcG}GgIkL_JmNuAaDo@oC|BsCNe@gABiAd@qMpKEh@H^hAbCxH~IfJ|M|BpCbAdBbF`FhC~AdK~LxLlLHh@s@bEVJV|Al@rAVPBGfD`CfFzBAj@a@pB_EbR_AtUUf@aDtD_D~B[tACfCb@ZDh@s@nJXb@Wp@Eh@v@fBc@jBIjC}@bCGr@FF`@KPUFg@IOgC^qAkB]WkAM_Cx@mDtB_AfAq@rA[nAmBvKSrABNw@vDgArHCv@b@tCdEpMNhAGpDTx@|@h@dDTp@ZfF|EbAl@nAlAbB`EhC|A\b@b@hAn@r@xD~BnGhIrCjAfDxBfAfAPbAc@pBlBlCJ`Ab@pA]nCPPLEh@uDe@gB?PVV\Sd@wAU}@kBmAwD}DoA_AuA_AkCu@g@c@uEsGmGmEq@mBaDeBgCwEeIgH{@a@iDKw@]i@oAEeAJyBOcBcE}L_@g@VeBDb@OOHq@XhD`FrNFt@C~Cd@tAp@^nCNxAl@bClCrEdEz@vA~@bAxBdBjApCnBxAtChAdFrHtCdAnD~Bv@x@R`@@j@c@xBnBpCBx@\n@Jj@WbC?NRPPKLi@NsCt@iC@g@So@iBsAeEkEmCuBwBo@eAs@kFuHyEkCk@y@c@uAaDaBkCwEqFwE{@kAqAe@iDGw@_@Ye@Mq@FiFKw@u@gBkCqIi@_@?]h@j@xEnNBfFZnAr@l@zCTlBr@hIbIr@pAjAjCxB~@Z^r@jBtFhDxE|Gx@r@zBh@nErD`@h@Fd@c@|A?ZVh@lAfAP^JpA^`AAn@YzAJTN@Ta@N{CYeBTFNMf@}AC_@U]kBiAwAwAuBuCaC{AiC_AqFiHeA}@eEiCy@_C]YuA_@y@e@gBiDuIkI}Am@qCIy@Ya@w@Kk@JeF{@aCi@oCmA}DUi@y@g@@k@WCJM?[f@_CvEm\lAoD~GkEvBq@j@Dp@h@n@tB~BW`@DDJEv@QX]FF_Bp@uBLqCd@qBI_@s@s@CYDWd@m@@Sa@a@l@eIC_A[o@TeEb@e@DY`DyBbBoBf@eAr@}RCe@rCeM`AmFFuBMSkFkBmDyBa@}@OwAXuFUu@{KgLaL}M_CsAgFqFs@uAoF}G}GsJeAeA}A_C_B}AqAcDAu@jDqCnHmGnA[n@LLTCJe@PoAnAg@\^xA~BjFfIpMnBxCzD|Ez@xAdD~DXp@|AtAb@EXi@	60.480000000000004	5380	Mt Coot tha	0	1	FALSE	2	Ride	2020-11-07T23:17:14Z	2020-11-08T09:17:14Z	-27.477053	153.004878	(GMT+10:00) Australia/Brisbane	562.3	0	FALSE	Ride	4602221357	4602221357	36000	everyone	10	NA	NA
13	37641772	1	1	15.8652	0	FALSE	FALSE	22.235599999999998	5625	6.6	3.7	-27.410604	153.06304	616cf5e7-33ec-4ef9-9a9d-6972fda23f46-activity.fit	FALSE	FALSE	b10387460	FALSE	FALSE	FALSE	4338965146	3	FALSE	a4338965146	2	jshfDwbfe\EICs@RU?YVg@^}Dd@wB@gBEaAGm@e@yB[s@aDuF[sAQ[_Au@k@f@[BKFMcBQw@Y}@qAuCQu@YQKS{BgFaAcCe@g@gA]s@{DOk@@Od@UFWAwBUc@R_BGsCi@iKg@aANmAAk@qA_VYqBq@qA}DiDcAaADCyCuCuDgDmBuB{@e@kAGsHv@uJd@oCBuAg@kBXkE^]GKUGg@e@uEe@{Kc@aBMs@m@aKOe@mBq@wBeAs@MyCoAo@G[a@w@OkXkKaPyGm@a@wAoAqCwD{BqDEOoB_Dq@u@c@s@C@qCgFwEwHuAeBeAo@y@[QBuEzDgA?w@RgEe@]Dy@Z_AdAw@j@Q`@u@^wD|CyAv@{@bAaD`CIXWdGMRaFg@M?L@ER]BoEY_B?wAOs@BuJ_Ao@N]Go@FqBu@aBQi@Mc@?g@X[MM[[Ik@L]Gi@[eESYE[S{PcBeEYw@WmB}@kGqDaAg@cDsAkFiAYMMSiDI}CQwC_@aBKo@BuDl@gCL_AMy@o@Y?y@bBqAnBiAxB}A~Fc@pBCj@@IQ@gC}@o@IWBQLW^mB|EBIg@B]N@DDE?NDDLcA?Db@SNOl@kAf@uAd@k@RE\@hC~@NBRKpAyFx@sCdBiDdBqCZQXH|@v@d@H~COpDk@n@ChKt@pDLLEA\JF|E|@|@Z~BdAzI~ElBv@nXtCn@Vz@CvCNNF^\T@PMj@HRZVLL?TQRAn@XlBP|Bt@j@K~DBpF`@fA@tCX`@CnFj@JEH[F?tDVTIDmBXyCHUxD_D^i@nAk@b@[tEuD^c@\SzAyAlA[~DZdASb@Ff@Q~D}CPGFH|@NfAz@bBtBhJvOdAtAlBdDtB`DvBzChBhB`Al@tB~@rL~E`XdKhAd@XTrA^NAzCzAtDlAXPLZF|BNbATnEf@hBJv@ZjILbBf@dEPd@t@BhF_@n@MjBh@fEKlIe@|Gs@hADn@\hBnBzEnE`CfCdEnDh@l@v@`BTzApA`WC`@Yv@j@z@FVf@fJL|DUbA?R\j@HjBGRc@RCn@hA~DdB`@j@j@h@|@\r@APp@jAjAxCb@j@V|@xB~Ez@bBz@z@d@`BvBfEj@p@b@jAR|@LlA?pCG`@[r@G^c@vEe@b@?FHMI`@FbA	27	5046	Nudgee beach	0	1	FALSE	2	Ride	2020-11-14T22:05:19Z	2020-11-15T08:05:19Z	-27.410616	153.063007	(GMT+10:00) Australia/Brisbane	4.9	0	FALSE	Ride	4638150938	4638150938	36000	everyone	10	NA	NA
11	37641772	1	3	24.285600000000002	0	FALSE	FALSE	36.422599999999996	7056	24.1	4.3	-27.225268	153.082559	54396dd1-debe-4200-a4df-947a091044a1-activity.fit	FALSE	FALSE	b10387460	FALSE	FALSE	FALSE	4372004116	3	FALSE	a4372004116	2	`shfDs`fe\K?HMDeBIa@h@kA`@iEj@yB?wBS}BgAsCk@m@mBkDk@gBy@y@_@PRKKk@_D_HSy@g@k@gD_IeAeAwA_@_AgFDSd@Y?YKeB]a@P{Aw@aPo@mAXaABk@sAcVU}A_@eAk@{@oD_D{NyN{@]u@AgHz@kH`@uEJmBm@sIt@Ws@g@uEk@qLq@uCq@uKuFiCaEsA_ABy@zA}@RaEo@gJmC{EgAuBWsEKuA_@mB|@kFj@_Er@wEPsBMiHmAeIeDqD_AaKo@kJ`@uBSq@i@Ms@@[Xs@`As@TBV`@b@tD@|GOZWJ_@_@c@wAe@a@eCYyJmBeJkAsEA_GbAmBnAaDxAsBhBoLvIeBv@_ApAyCfCcCbAqCtD_AnBkB|Gq@tHk@`C_@zCsBfU_AhGsCfGcAnA_GpE_ChAeCr@oFz@o[`D_QjCaChA[ZJn@v@z@RdAg@zAi@x@UCo@gBeAeAyEY_Af@wEbF_ArAuAdDwBxKS`Cq@vWc@~BIpAMdGClKh@hWRbDCzDaAjDWnBuAlDoBbDkDlD_EhCiCv@qKv@yJYlBzNVLNOGUaBZQN@NHXJ@Bk@_@qCy@{CkLoAk@FcBj@qAA_AYo@c@qBmCu@YmAKgRhCsFfAmZpJgIzCuB`BuAhCc@bDDbFGJk@CEZPBiBYCQKHIi@UWoE@y@o@u@b@uBrBqAh@_DDgAy@G[@wBK]WA{N~D}CR}D_@gXeH_DgA{DkCcEkFeBaByBeA}DeAkBy@uCcBaCsBuFoH{GyKmDyGqFuLyJ}PeI_NwAuAmD}B]CSl@a@IJAELVKOAHGVBb@kB`AeAtAc@j@HN^EX_@ZuAg@_bCgcBs@a@sBUkAg@_AEeAe@gI}He@UAe@_AmAqBkEiAeEuDuTCWLq@Gi@e@iAMsAYy@wBiMWg@My@tBcBZo@`@kDReE`AmGbBgH|@sC|CoH`DuEfBaAjC}BpCiAxDo@Y?MYFaEKyA_CiDk@YGSZuCC{@Q_@qFSyD_A}JwEaBqB}@[aCIyAj@uBMwAxAe@T{Af@aAGyHiBoDwAuG_AcB}@}Fo@q@@sDu@mE[o@]_JoBcNcEo@CuBcAiFyAyABoA~@]Hy@SsEaCyGEeD_B{FoDWc@a@wCYy@s@g@o@I{ED]Z@lC_B|Oo@xJ}AdSeDh_@GlCAMQ\QlBsAfQ_BbUoAdO}@jIeB`VaAlKShAqAlBsFxCGZb@vA|@v@	42.12	5399	Toombul 2 kippa ring	0	10	FALSE	2	Ride	2020-11-21T22:04:31Z	2020-11-22T08:04:31Z	-27.410567	153.062663	(GMT+10:00) Australia/Brisbane	122.2	0	FALSE	Ride	4672923257	4672923257	36000	everyone	10	NA	NA
8	37641772	1	2	24.7572	0	FALSE	FALSE	58.715	12553	28.9	2.7	-27.433314	153.032877	4a698ac1-cf34-43cb-9cd1-13f13eef7512-activity.fit	FALSE	FALSE	b10387460	FALSE	FALSE	FALSE	4523016415	5	FALSE	a4523016415	2	p}lfDmx`e\fAeN_TwBK}AcJmIcBmC{JeAeQcAuLeCkCPkO{EsC}CiDaLm@c@Fw@aAmD}@_@h@cMoC]Oc@`@aKkSwO_D_FJmA{BiCXgD~@uB~@kNbAmFHwAe@Un@iA~@_ICkDmAgEoGaL}JiUeAwAoB{@{@sEh@q@_@eDPsB}@sNu@}AXqBmBuY}A_CsU}SeS|A}EJkBo@eIv@gAyGg@gLq@mCs@{KeMaFw@P{@~As@H_UwF_NyAwBbAgLbBeIBgHkA_OiFiJm@eJ^qCWm@c@KoA|AeBb@Vf@lD@hHWd@o@Ow@oBk@W{ZwEqJ|@qHlDqS~NuEpEcCdAiEfGgCnJcHnn@gEtI_GpE}F~Bev@pJqC~A?f@pAfCyAlDs@qBcAcAyE_@}@\eH~HcB|DgBpJkAj\o@fFMrN~@l`@KhEiCxJqHvKwH|DaMbA_Jg@fBfOh@GmBHUVVd@Re@YiCeAsD}KmA}Fl@gB_AuA_CyAo@e]`Fsd@|OkDjF_@jDBhEiAbA{BuBuEKa@e@eGzD_DIgA_AYgDmPbE}ECuCi@m[wIsDaCqHsIgO}FkFyEqMqRsLsViSu]aCwCkEiCbB{CrBAFl@c@d@kBeAmt@_h@sAqCfDdB{@WcBiApAxCbw@|i@r@[ScAP]dJw@LrBj@GyB_BwBBcHhBiBpB|HzGtSj^dOjZzKpO~EpEzNvFnG~HhEvCt[~IdDd@fFGlOqENnDnAfAfDCjFcE`Aj@rELp@x@^z@~AkDd@gGrCyEpf@qPb\wEnA^jBzCvAr@jBDtC{@dL|Az@lCb@nE_@[No@nBMg@TyBkO|Jb@vK}@|CaAzDsCnDaEdBiDlCoKJwEaAeb@V_Ml@oEdAg\xDuOfBkCfGuFfFV`CtDrAqCe@sBi@QDk@`DqB`t@_JbHmCdGwEbE{I|Gom@nCiKdE_GlCiAlEmEnS_OvHuD`J{@d\jF|ArCTCVk@GmHg@gDe@UuAfBRjA~@f@xLOzKp@xM|EbIpA|H?~LgBdB{@jLjA~U|Fz@AfAeBbAIlMlGvAvN\|J~@tHxIe@|Al@vEKlTuArUjT`A~AvBtZ[hBr@fBr@hOWrAd@r@HpBs@v@|@`EpB|@rAhBjGfOpKjSt@`D?rDeArHc@h@b@bA[DuArW_AlBc@pD~BvBAxAfC~ErNtK}@zNbJbAs@zL~@n@fHnUnBrBhOvEbDYzLvC~NvArLp@vB`DfIxHB|AlShBLl@_AjM	49.32	8538	Windsor to Houghton highway bridge	0	0	FALSE	2	Ride	2020-12-27T05:07:37Z	2020-12-27T15:07:37Z	-27.433268	153.032904	(GMT+10:00) Australia/Brisbane	193.2	1	FALSE	Ride	4832606360	4832606360	36000	followers_only	10	NA	NA
22	37641772	1	1	23.328000000000003	0	FALSE	FALSE	60.038599999999995	9889	34	4.3	-27.449584	153.027579	3547c007-7f70-4f0b-a077-064b931f7b59-activity.fit	FALSE	FALSE	b10387460	FALSE	FALSE	FALSE	4541828915	4	FALSE	a4541828915	2	dgpfDeg_e\X\OsBoJ]Q}CoGq@|@iIuDc@qAqDcDxAe@pBb@a@JgBUuA{@}@{Fx@cGoAiD}FaHyIcHsHcAX_BjC}@^eEiBcDNiIgGkUoCI}AwM_NyJgAaP{@yMkCaCVmQqGqBqDgCyIk@a@w@{EgA{@n@eL_D_Af@cLsSoOqCwEPmAiCmCf@yDhAiBvAaYfBmJAuCkAeFsIsOgIkRkA{A}Ag@Yw@o@aDn@o@c@oDReBaAeOk@aAXmBeCyZoWgWaVdBgDDyAm@{Hj@sA_H}AeQg@cKaMiF{@VoBlByToFkMwAsNtCcJTeIoAcOqFqIm@{J^{CYq@aACcA~A{AbAjE?lHe@r@gByCu[uEwJjA}GlDoS`OoElEoCnAqE`GwBlHaIjp@yEfJcGpE{FrBqt@bJ{CfBnAbDwAnCy@_BkAoAiEWwIlIyB`F}BlN}At]YrL|@pd@U~E}ApGkDnHmJzHsOlBqJa@dBbOh@QwBd@Tb@WkEy@sCeLgAwFv@sAq@}BiD_C[cZbFid@hOyB~AoAvBq@bCBfG]^Ta@qAPqAw@}EGu@g@cFfDuEDeAeAEwC}N`EiJI}[yI_F_DmHsIeLeEqF}DsOkTaNoXiSq]{HuGn@oAvDgBtIu@ZzB_BqBgBIoH~B}AvBtIhHdTf_@fMlWhOnSnExCxMtFtG~HvCpBv[vIjKb@vOgEVXI|CrAbA|CCvFgEt@l@|EHj@lA@_@hAVn@mARcFz@wDfDkD|c@wN`[_FjC`@pBxCvAp@xGm@pKbBnApI_@eAxBKm@HyAkOhKb@bOwB`JkHpEqJvAqJgAkf@XwLl@iEd@{WxBaN~BwFtG{GfA_@jE^nC~DnAgD_@{Aw@yAzCeB`t@yIvGeCrG_FrEkJvDo`@rBuN`C{H`EsFzB_AfZqU~HyDfJs@n\nFvAnCf@y@OwHaAmDwAxBn@zAjPI`Ip@lN`FrHpAnHCdQcDlK`AxVnGz@Iv@_BfASbM`G`BpPp@|Lv@bFfI}@~Bl@xYeBdXdXhBjXW`Dr@pAv@~NU`Ch@fCi@rAdAjE~Ab@zAhBzJfU~GnMn@dCFxDeBfJVn@iBpWkBhIzB|BGzArCvEhNdK{@zNdJlAe@|L|@h@vEbQvA~CbEtCzKdDtC_@rYvDn@j@rNfA|AdCnJ|IBzAdSxAdK`HxDI`EhBhAg@dBsClAHhP|RhDnGrF~@rGaAbAnCEtB[T[c@`@kAjDqAbB~DjDXs@nHXf@vDZx@|@H`BzHt@b@zB	44.28	9265	Herston to decker park	0	8	FALSE	2	Ride	2020-12-30T21:52:35Z	2020-12-31T07:52:35Z	-27.449626	153.027874	(GMT+10:00) Australia/Brisbane	205.7	0	FALSE	Ride	4852517675	4852517675	36000	everyone	10	NA	NA
